name,type,city,internship_open,paid,monthly_stipend_eur,response_status,address,source_url,last_checked,notes,lat,lon,loc
European Sovereign Tech Industry Alliance,NGO,Brussels,unknown,unknown,,classified,"Avenue Marnix 28, 1000 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.844098,4.37252,approx
Coppieters Foundation,think tank,Brussels,unknown,unknown,,classified,"Coppieters FoundationBoomkwekerijstraat, 1, 1000 Brussels",http://www.ideasforeurope.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.844614,4.359371,approx
Canada EU Trade Council,trade association,Brussels,unknown,unknown,,classified,"avenue Louise 65, 1050 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.822444,4.382403,approx
Commerzbank AG,company,Brussels,unknown,unknown,,classified,"Liaison Office BrusselsSquare de Meeûs 23, 1000 Brussels",http://www.commerzbank.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.846235,4.364542,approx
European Trade Union Committee for Education,trade union,Brussels,unknown,unknown,,classified,"15 Boulevard Bischoffsheim, 1000 Brussels",https://www.csee-etuce.org/fr/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.844645,4.362643,approx
ResMed,company,Brussels,unknown,unknown,,classified,"Bolwerklaan 21 Box 8, 1210 Brussels",https://www.resmed.com/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.855634,4.373975,approx
Creativity Works!,trade association,Brussels,unknown,unknown,,classified,"Boulevard du régent 35, 1000 Brussels",http://creativityworks.eu/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.847362,4.369609,approx
Fédération Européenne pour la Santé Animale et la Sécurité Sanitaire,trade union,Brussels,unknown,unknown,,classified,"Place du Nouveau Marché aux Grains 21FESASS, 1000 Brussels",http://www.fesass.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.848566,4.36164,approx
Associazione fra le società italiane per azioni,trade association,Brussels,unknown,unknown,,classified,"Rue de la Science 21-23-25, 1040 Brussels",http://www.assonime.it,2026-07,EU Transparency Register; location approximate (postcode-level).,50.83646,4.394261,approx
Bureau Européen de l'Agriculture Française,trade union,Brussels,unknown,unknown,,classified,"avenue des Arts, 1-2, 1210 Brussels",http://www.beaf.be,2026-07,EU Transparency Register; location approximate (postcode-level).,50.855625,4.36916,approx
Chamber of Commerce and Industry of Serbia,trade association,Brussels,unknown,unknown,,classified,"Square de Meeûs 35, 1000 Brussels",http://www.pks.rs/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.843875,4.363616,approx
Gezinsbond vzw,NGO,Brussels,unknown,unknown,,classified,"Arduinkaai 16, 1000 Brussels",http://www.gezinsbond.be,2026-07,EU Transparency Register; location approximate (postcode-level).,50.848286,4.369674,approx
European Blood Alliance,NGO,Brussels,unknown,unknown,,classified,"Clos Chapelle aux Champs 30C/o BLSI, 1200 Brussels",http://www.europeanbloodalliance.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.845339,4.431055,approx
"Centre for Democracy & Technology, Europe",NGO,Brussels,unknown,unknown,,classified,"Avenue des Arts10-11, 1210 Brussels",http://www.cdt.org/eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.850219,4.366205,approx
Swiss Re Ltd.,company,Brussels,unknown,unknown,,classified,"rue du Champ de Mars 23, 1050 Brussels",https://www.swissre.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.818108,4.374885,approx
Methanol Institute,trade association,Brussels,unknown,unknown,,classified,"Avenue des Arts 44, 1040 Brussels",https://www.methanol.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.831444,4.39374,approx
Europe Region of World Physiotherapy,NGO,Brussels,unknown,unknown,,classified,"Avenue des Arts 56, 1000 Brussels",http://www.erwcpt.eu/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.851076,4.369661,approx
International Pectin Producers Association,trade association,Brussels,unknown,unknown,,classified,"Avenue de Tervueren13, 1040 Brussels",https://pectinproducers.com/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.836537,4.396703,approx
Confederazione dell'Industria Manifatturiera Italiana e dell'Impresa Privata,trade association,Brussels,unknown,unknown,,classified,"Place du Champ de Mars 1/3, B1050 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,,,approx
Hill & Knowlton International Belgium,consultancy,Brussels,unknown,unknown,,classified,"Square de Meeûs, 37, 1000 Brussels",https://hillandknowlton.com/office/brussels/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.844011,4.37423,approx
Fédération Internationale des Associations de Producteurs de Films Headquarters ASBL,trade association,Brussels,unknown,unknown,,classified,"Rue de l'Industrie 4, 1000 Brussels",https://fiapf.org/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.845046,4.363704,approx
Conseil supérieur du notariat,trade union,Brussels,unknown,unknown,,classified,"Bureau des notaires de Francerue Breydel 36, 1040 Brussels",https://www.csn.notaires.fr/fr,2026-07,EU Transparency Register; location approximate (postcode-level).,50.834258,4.385212,approx
European and Mediterranean Horseracing Federation,trade association,Brussels,unknown,unknown,,classified,"61, Chaussee de la Hulpe, B-1180 Brussels",http://www.euromedracing.eu/,2026-07,EU Transparency Register; location approximate (postcode-level).,,,approx
EUROGAS,trade association,Brussels,unknown,unknown,,classified,"Rue d'Arlon 80/6, 1040 Brussels",http://www.eurogas.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.835478,4.389487,approx
Vlaams - Europees verbindingsagentschap,NGO,Brussels,unknown,unknown,,classified,"Aarlenstraat 80, 1000 Brussels",http://www.vleva.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.846312,4.371702,approx
International Confederation of European Beet Growers,trade union,Brussels,unknown,unknown,,classified,"BOULEVARD ANSPACHLAAN, 111, 1000 Brussels",http://www.cibe-europe.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.84673,4.363543,approx
E.DSO - European Distribution System Operators AISBL,trade association,Brussels,unknown,unknown,,classified,"rue de la Loi 82, 1040 Brussels",http://www.edsoforsmartgrids.eu/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.837935,4.391576,approx
European Energy Exchange AG,company,Brussels,unknown,unknown,,classified,"Square de Meeus 5-6, 1000 Brussels",http://www.eex.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.845324,4.371713,approx
The EU Vegetable Oil and Proteinmeal Industry,trade association,Brussels,unknown,unknown,,classified,"Avenue de Tervuren, 168(box 12), 1150 Brussels",http://www.fediol.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.834271,4.445986,approx
Flint Europe,consultancy,Brussels,unknown,unknown,,classified,"Avenue des Arts 44, 1000 Brussels",http://flint-global.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.846869,4.364248,approx
COIMBRA GROUP,NGO,Brussels,unknown,unknown,,classified,"Egmontstraat 11, rue d'Egmont, 1000 Brussels",http://coimbra-group.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.844521,4.360255,approx
GLOBAL HEALTH ADVOCATES,NGO,Brussels,unknown,unknown,,classified,"Mundo JRue de l'Industrie 10, 1000 Brussels",http://www.ghadvocates.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.844763,4.362858,approx
KASHMIR  PEACE  FORUM,NGO,Brussels,unknown,unknown,,classified,"Chaussee  de Wavre 120, 1050 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.819593,4.377028,approx
Bundesverband der Deutschen Sicherheits- und Verteidigungsindustrie,trade association,Brussels,unknown,unknown,,classified,"Rue Marie de Bourgogne 58BDI/BDA The German Business Representation, 1000 Brussels",http://www.bdsv.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.843437,4.368253,approx
CEPA The Good Pest Manager,trade association,Brussels,unknown,unknown,,classified,"Rond Point Schuman, 6Boite 5, 1040 Brussels",https://www.cepa-europe.org/about-us,2026-07,EU Transparency Register; location approximate (postcode-level).,50.839354,4.387849,approx
European Diabetes Forum,NGO,Brussels,unknown,unknown,,classified,"Regus EU CommissionSchuman Roundabout 6, box 5, 1040 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.830505,4.395863,approx
YouthProAktiv,NGO,Brussels,unknown,unknown,,classified,"Rue des Capucins 7, 1000 Brussels",http://youthproaktiv.org/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.848743,4.367546,approx
Confederation of the German Textile and Fashion Industry,trade association,Brussels,unknown,unknown,,classified,"58 Rue Marie de Bourgogne, 1000 Brussels",http://www.textil-mode.de,2026-07,EU Transparency Register; location approximate (postcode-level).,50.844719,4.36908,approx
Wetlands International - European Association,NGO,Brussels,unknown,unknown,,classified,"Mundo-J buildingRue de l'Industrie 10, 1000 Brussels",https://europe.wetlands.org/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.851444,4.368368,approx
Netherlands House for Education and Research (Neth-ER),NGO,Brussels,unknown,unknown,,classified,"Aarlenstraat 22, 1050 Brussels",http://www.neth-er.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.819742,4.3761,approx
European Employers' Group of Professional Agricultural Organisations,trade union,Brussels,unknown,unknown,,classified,"Rue de Trèves 61, 1040 Brussels",https://www.linkedin.com/company/geopa,2026-07,EU Transparency Register; location approximate (postcode-level).,50.831385,4.39691,approx
Nordisk Jægersamvirke,NGO,Brussels,unknown,unknown,,classified,"c/o European Federation for Hunting and Conservation (FACE)Avenue de la Joyeuse Entrée, no 1-5, B-1040 Brussels",http://www.en.nordichunters.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,,,approx
Associazione Nazionale fra le Imprese Assicuratrici,trade association,Brussels,unknown,unknown,,classified,"Rue du Champ de Mars 23, 1000 Brussels",http://www.ania.it,2026-07,EU Transparency Register; location approximate (postcode-level).,50.849272,4.358535,approx
"Aerospace, Security and Defence Industries Association of Europe",trade association,Brussels,unknown,unknown,,classified,"Rue du Trône, 100, 1050 Brussels",http://www.asd-europe.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.82362,4.381142,approx
Nationale Loterij / Loterie Nationale,company,Brussels,unknown,unknown,,classified,"rue Belliardstraat, 25-33, 1040 Brussels",http://www.loterie-nationale.be,2026-07,EU Transparency Register; location approximate (postcode-level).,50.836497,4.392435,approx
Western Sahara Resource Watch,NGO,Brussels,unknown,unknown,,classified,"Mundo BRue d'Edimbourg 26, 1050 Brussels",https://www.wsrw.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.820027,4.379746,approx
Compagnie de SAINT-GOBAIN,company,Brussels,unknown,unknown,,classified,"Rue d'Arlon 25, 1050 Brussels",http://www.saint-gobain.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.819011,4.37486,approx
EUFUA,NGO,Brussels,unknown,unknown,,classified,"Rue Jacques de Lalaing 4Same as the head office, 1040 Brussels",https://www.eufua.org/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.837862,4.396762,approx
UPS Europe SRL/BV,company,Brussels,unknown,unknown,,classified,"Avenue Ariane, 5, 1200 Brussels",https://about.ups.com/gb/en/home.html,2026-07,EU Transparency Register; location approximate (postcode-level).,50.844523,4.432021,approx
European Bioeconomy Bureau,NGO,Brussels,unknown,unknown,,classified,"EBB, 1040 Brussels",http://www.bioeconomybureau.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.829895,4.389655,approx
Detic asbl / vzw,trade association,Brussels,unknown,unknown,,classified,"Silver Building - 3rd floor70, Bld A. Reyerslaan, 1030 Brussels",https://www.detic.be,2026-07,EU Transparency Register; location approximate (postcode-level).,50.859869,4.382655,approx
World Steel Association,trade association,Brussels,unknown,unknown,,classified,"Avenue de Tervueren 270, 1150 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.829142,4.44196,approx
Österreichische Notariatskammer,public/mixed,Brussels,unknown,unknown,,classified,"Avenue de Cortenbergh 172, 1000 Brussels",https://ihr-notariat.at/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.848015,4.369105,approx
Confederazione Generale Italiana del Lavoro,trade union,Brussels,unknown,unknown,,classified,"Rue de la Loi 26, 1040 Brussels",http://www.cgil.it,2026-07,EU Transparency Register; location approximate (postcode-level).,50.834287,4.387848,approx
European Chemistry for Textile and Leather,trade association,Brussels,unknown,unknown,,classified,"58 Rue Marie de Bourgogne, 1000 Brussels Brussels",http://www.euctl.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,,,approx
Flexographic Technical Association Europe,trade association,Brussels,unknown,unknown,,classified,"Avenue Louise 130A, 1050 Brussels",https://www.fta-europe.eu/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.824239,4.381992,approx
Friedrich-Ebert-Stiftung,NGO,Brussels,unknown,unknown,,classified,"Rue du Taciturne 38, 1000 Brussels",https://www.fes.de,2026-07,EU Transparency Register; location approximate (postcode-level).,50.849385,4.366206,approx
European Advertising Standards Alliance,public/mixed,Brussels,unknown,unknown,,classified,"Rue Marie-Thérèse 213rd floor, 1000 Brussels",http://www.easa-alliance.org/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.84456,4.366823,approx
CONCILIUS AG,consultancy,Brussels,unknown,unknown,,classified,"CONCILIUS Europe SRLAvenue de Cortenbergh 52, 1000 Brussels",https://www.concilius.com/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.85033,4.366119,approx
Prime Collateralised Securities (PCS) Europe asbl,company,Brussels,unknown,unknown,,classified,"PCS Association23 avenue Marnix, 1000 Brussels",http://pcsmarket.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.845716,4.363774,approx
Autism-Europe,NGO,Brussels,unknown,unknown,,classified,"Rue Montoyer 39, 1000 Brussels",https://www.autismeurope.org/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.849207,4.36584,approx
European Consortium of Innovative Universities,academic,Brussels,unknown,unknown,,classified,"ECIU Brussels Office Rue du Luxembourg 3, 1000 Brussels",http://www.eciu.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.845786,4.360712,approx
Keeping Channels Open,think tank,Brussels,unknown,unknown,,classified,"5 Rue Philippe le Bon, 1000 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.848217,4.367736,approx
Konrad-Adenauer-Stiftung,NGO,Brussels,unknown,unknown,,classified,"Avenue de l'Yser 11, 1040 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.839466,4.391507,approx
EUROMALT,trade association,Brussels,unknown,unknown,,classified,"Rue Montoyer, 23, 1000 Brussels",http://www.euromalt.be/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.851025,4.363901,approx
EU-Africa Chamber of Commerce Group,trade association,Brussels,unknown,unknown,,classified,"Rond point Schuman 2-4, 1040 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.839543,4.393828,approx
DuPont de Nemours International SARL,company,Brussels,unknown,unknown,,classified,"Rue Belliard 40, 1040 Brussels",http://www.dupont.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.829912,4.3898,approx
SINTEF AS,think tank,Brussels,unknown,unknown,,classified,"Rue Guimard 9, 1000 Brussels",http://www.sintef.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.846106,4.369066,approx
Innovation Norway,consultancy,Brussels,unknown,unknown,,classified,"Rue Archimede 17, 1000 Brussels",https://en.innovasjonnorge.no/office-international/belgium,2026-07,EU Transparency Register; location approximate (postcode-level).,50.841936,4.362364,approx
Liga Nacional de Fútbol Profesional,company,Brussels,unknown,unknown,,classified,"Avenue des Arts 1-2, 1210 Brussels",http://www.laliga.es,2026-07,EU Transparency Register; location approximate (postcode-level).,50.84974,4.37171,approx
European Network of Business Travel Associations,NGO,Brussels,unknown,unknown,,classified,"BT4EuropeRud d'Arlon 40, 1000 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.846869,4.369855,approx
Value of Beauty Alliance,trade association,Brussels,unknown,unknown,,classified,"Boulevard du Régent 35, 1000 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.847363,4.36983,approx
European Film Agency Directors,public authority,Brussels,unknown,unknown,,classified,"c/o CCA - FWBBoulevard Léopold II, 44, 1080 Brussels",https://europeanfilmagencies.eu/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.852122,4.323741,approx
Federation of European Securities Exchanges,trade association,Brussels,unknown,unknown,,classified,"Rue Montoyer 25, 1000 Brussels",https://www.fese.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.847551,4.37549,approx
European Internet Forum,NGO,Brussels,unknown,unknown,,classified,"Avenue des Arts, 56, 1000 Brussels",https://www.internetforum.eu/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.845126,4.364295,approx
JobRad Holding SE,company,Brussels,unknown,unknown,,classified,"Rue Belliard 60-62, 1040 Brussels",https://www.jobrad.org/das-unternehmen,2026-07,EU Transparency Register; location approximate (postcode-level).,50.834917,4.384555,approx
Global Cancer Strategies,consultancy,Brussels,unknown,unknown,,classified,"Rue des Chevaliers 6 boite 7, 1050 Brussels",https://globalcancerstrategies.co/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.8269,4.377675,approx
Polish Electricity Association,trade association,Brussels,unknown,unknown,,classified,"Rue Froissart 123-133, 1040 Brussels",http://www.pkee.pl/en/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.832943,4.390854,approx
Fédération Nationale des Activités de Dépollution et de l'Environnement,trade association,Brussels,unknown,unknown,,classified,"Rue de la science 23, 1040 Brussels",http://www.fnade.org/fr,2026-07,EU Transparency Register; location approximate (postcode-level).,50.833882,4.386252,approx
"Foundation on European Citizens’ Rights, Involvement and Trust",think tank,Brussels,unknown,unknown,,classified,"Rue de la Loi 261000 Bruxelles Belgium, 1000 Brussels",https://ecit-foundation.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.848265,4.365089,approx
European Business Summit Network,NGO,Brussels,unknown,unknown,,classified,"Rue du Belvédère, 28, 1050 Brussels",http://www.ebsummits.eu/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.825361,4.381158,approx
Science for Democracy,NGO,Brussels,unknown,unknown,,classified,"Rue de la Loi 26, 1000 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.847209,4.36286,approx
ZVEI e.V. - Verband der Elektro- und Digitalindustrie,trade association,Brussels,unknown,unknown,,classified,"ZVEI e.V.European Office, 1000 Brussels",http://www.zvei.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.846923,4.36425,approx
Eurostar International Ltd,company,Brussels,unknown,unknown,,classified,"4 Place Marcel Broodthaers, 1060 Brussels",http://www.eurostar.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.831547,4.352737,approx
Forum for Mobility & Society,NGO,Brussels,unknown,unknown,,classified,"Avenue des Arts 50, 1000 Brussels",http://debatingmobility.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.847157,4.375402,approx
Non c'è Pace Senza Giustizia ETS,NGO,Brussels,unknown,unknown,,classified,"62 rue de la Loi, 1040 Brussels",http://www.npwj.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.829526,4.394548,approx
Publyon,consultancy,Brussels,unknown,unknown,,classified,"Handelsstraat 31, B-1000 Brussels",http://www.publyon.com,2026-07,EU Transparency Register; location approximate (postcode-level).,,,approx
Forward Global,consultancy,Brussels,unknown,unknown,,classified,"Boulevard du Régent 35, B-1000 Brussels",http://www.forwardglobal.com,2026-07,EU Transparency Register; location approximate (postcode-level).,,,approx
Deutsches Zentrum für Luft- und Raumfahrt e.V.,think tank,Brussels,unknown,unknown,,classified,"Rue du Trone 98, 1050 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.819494,4.374262,approx
Platform for Electromobility,NGO,Brussels,unknown,unknown,,classified,"Avenue des Arts, 47, 1000 Brussels",https://www.platformelectromobility.eu/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.847962,4.364224,approx
North Norway European Office,public/mixed,Brussels,unknown,unknown,,classified,"Avenue des Art 11, 1210 Brussels",http://www.northnorway.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.85063,4.370433,approx
European Parents' Association,NGO,Brussels,unknown,unknown,,classified,"Rue de l'Industrie 10, 1000 Brussels",http://europarents.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.8436,4.371523,approx
EUROLUX,trade association,Brussels,unknown,unknown,,classified,"Rue de Washington 40, 1050 Brussels",https://www.eurolux-eu.com/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.826994,4.378295,approx
Alliance to Renew Co-operation among Humankind,NGO,Brussels,unknown,unknown,,classified,"AVENUE PAUL HYMANS124, 1200 Brussels",http://archumankind.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.846652,4.434375,approx
Apex-Brasil Brussels-Europe,trade association,Brussels,unknown,unknown,,classified,"Avenue des Arts, 19AD, 1000 Brussels",http://www.apexbrasil.com.br/en/home,2026-07,EU Transparency Register; location approximate (postcode-level).,50.845875,4.37257,approx
"IPC International, Inc.(operating as Global Electronics Association)",trade association,Brussels,unknown,unknown,,classified,"Square de Meeus37, 1000 Brussels",http://www.electronics.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.850179,4.368813,approx
FEDIL - The Voice of Luxembourg's Industry,trade association,Brussels,unknown,unknown,,classified,"168, avenue Cortenbergh, 1000 Brussels",http://www.fedil.lu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.843255,4.37133,approx
Track2Asia,NGO,Brussels,unknown,unknown,,classified,"Rue du Houblon 5-19Glyn Ford, 1000 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.84743,4.373934,approx
"EUROPEAN FEDERATION OF JEWELLERY, SILVERWARE, WATCHMAKING, GEMSTONES INDUSTRY AND TRADE",trade association,Brussels,unknown,unknown,,classified,"RUE ABBE CUYPERS, 10-40 Brussels",https://efjewellery.eu/,2026-07,EU Transparency Register; location approximate (postcode-level).,,,approx
International Video Federation,trade association,Brussels,unknown,unknown,,classified,"Rue de l'Industrie 4, 1000 Brussels",http://www.ivf-video.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.845211,4.363565,approx
KfW Bankengruppe,public/mixed,Brussels,unknown,unknown,,classified,"Rue Montoyer 51, 1000 Brussels",http://www.kfw.de,2026-07,EU Transparency Register; location approximate (postcode-level).,50.846869,4.363607,approx
Waterborne Technology Platform,trade association,Brussels,unknown,unknown,,classified,"De Meeussquare 35, 1000 Brussels",http://www.waterborne.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.847877,4.363562,approx
European Cabin Crew Association,trade union,Brussels,unknown,unknown,,classified,"Avenue Louise 143/4, 1050 Brussels",http://www.eurecca.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.82022,4.375561,approx
FEDERATION OF EQUINE EUROPEAN VETERINARY ASSOCIATIONS LTD.,NGO,Brussels,unknown,unknown,,classified,"Rue Victor Oudart 7, B - 1030 Brussels",https://feeva.fve.org/,2026-07,EU Transparency Register; location approximate (postcode-level).,,,approx
Territory of Participation,NGO,Brussels,unknown,unknown,,classified,"9 rue Charles Quint, 1000 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.850807,4.370745,approx
European Association for Viewers Interests,NGO,Brussels,unknown,unknown,,classified,"Rond-point Schuman 9/16, 1040 Brussels",http://www.eavi.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.829469,4.389423,approx
European Federation of Origin Wines,trade union,Brussels,unknown,unknown,,classified,"Square Ambiorix, 18, 1000 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.847834,4.373315,approx
Brussels Airlines SA/NV,company,Brussels,unknown,unknown,,classified,"Brussels Airlines SA/NVAvenue des Saisons 100-102 Box 30, 1050 Brussels",http://www.brusselsairlines.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.819751,4.384105,approx
EDEKA ZENTRALE Stiftung & Co. KG,company,Brussels,unknown,unknown,,classified,"Avenue des Nerviens 85, 1040 Brussels",https://verbund.edeka/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.833593,4.383726,approx
European Network of Transmission System Operators for Gas,trade association,Brussels,unknown,unknown,,classified,"Avenue de Cortenbergh 1002nd floor, 1000 Brussels",http://www.entsog.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.845054,4.362589,approx
Stiching Climate-KIC International Foundation,public/mixed,Brussels,unknown,unknown,,classified,"Place du Congrès 1, 1000 Brussels",http://www.climate-kic.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.843475,4.374095,approx
Helmholtz-Gemeinschaft Deutscher Forschungszentren e.V.,think tank,Brussels,unknown,unknown,,classified,"Rue du Trône 98, 1050 Brussels",http://www.helmholtz.de,2026-07,EU Transparency Register; location approximate (postcode-level).,50.821185,4.379534,approx
Rural Youth Europe,NGO,Brussels,unknown,unknown,,classified,"Rue du Commerce 124, 1000 Brussels",https://www.ruralyoutheurope.com/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.845332,4.362477,approx
Saferworld,NGO,Brussels,unknown,unknown,,classified,"Mundo MatongeRue d'Edimbourg 26, 1050 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.825577,4.375841,approx
Encompass Europe,think tank,Brussels,unknown,unknown,,classified,"11 avenue Juliette, 1180 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.786473,4.357473,approx
EDUXO.EU - European Network for Democracy and Equality,NGO,Brussels,unknown,unknown,,classified,"RUE DU CONGRES 37, 1000 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.845614,4.369151,approx
The Belgian Royal Chamber of Antiques and Art Dealers,trade union,Brussels,unknown,unknown,,classified,"Rue Ernest Allard 32, 1000 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.848107,4.35747,approx
American University Brussels Center,academic,Brussels,unknown,unknown,,classified,"Almaplein 3 bus 7, 1200 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.849425,4.429301,approx
European Partnership for Energy and the Environment,trade association,Brussels,unknown,unknown,,classified,"Avenue des Arts, 26, 1040 Brussels",http://www.epeeglobal.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.834657,4.386231,approx
European Tourism Association AISBL,trade association,Brussels,unknown,unknown,,classified,"Rue du Marché aux Herbes 61, 1000-BE Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,,,approx
Action and Protection League,NGO,Brussels,unknown,unknown,,classified,"1040 Rue Froissart 109, 1000 Brussels",https://apleu.org/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.842063,4.361752,approx
Conseil Européen des Associations de Traducteurs Littéraires,NGO,Brussels,unknown,unknown,,classified,"Maison des AuteursRue du Prince royal 87, 1050 Brussels",http://www.ceatl.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.82041,4.371874,approx
Exempla Management & Consulting,consultancy,Brussels,unknown,unknown,,classified,"48, Rue des Aduatiques, 1040 Brussels",https://www.exempla.be,2026-07,EU Transparency Register; location approximate (postcode-level).,50.834653,4.397848,approx
European Centre for Electoral Support,NGO,Brussels,unknown,unknown,,classified,"Avenue louise 2226ème étage, 1050 Brussels",http://www.eces.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.815858,4.377082,approx
